PSR Number,Description,Status,Date Originated,Final Complete Date,Product Line(s),Complaint Details.Adverse Event Suspected?,Complaint Details.Facility Country,Complaint Details.Lot/Serial Number,Complaint Details.Complaint Received By,Complaint Details.Investigation Result Code (N/A to all QMS),Complaint Details.Customer Symptom Code
00000001,Description 1,Canceled,01/19/2018 02:50:40 AM PST,,Product 1,No,United Kingdom,,Name 1,,Other
00000002,Description 2,Closed,10/11/2017 09:03:34 PM PDT,11/16/2017 04:40:19 AM PST,Product 2,No,UK,N/A,Name 2,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000003,Description 3,Canceled,02/19/2019 09:06:27 PM PST,,Product 3,No,,,Name 3,,Other
00000004,Description 4,Canceled,01/19/2018 02:50:41 AM PST,,Product 4,No,,,Name 4,,Other
00000005,Description 5,Closed,10/11/2017 09:03:34 PM PDT,10/20/2017 06:19:53 AM PDT,Product 5,No,Ireland,N/A,Name 5,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000006,Description 6,Closed,10/11/2017 09:03:35 PM PDT,10/20/2017 06:19:35 AM PDT,Product 6,No,United Kingdom,160391,Name 6,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000007,Description 7,Closed,10/11/2017 09:03:36 PM PDT,12/20/2017 04:28:19 AM PST,Product 7,No,UK,429250,Name 7,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000008,Description 8,Closed,01/22/2018 01:33:58 AM PST,01/25/2018 04:52:06 AM PST,Product 8,No,Ireland,N/A,Name 8,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000009,Description 9,Submitted,09/19/2018 09:05:54 PM PDT,,Product 9,No,,,Name 9,,Other
00000010,Description 10,Closed,01/08/2018 09:00:41 PM PST,01/18/2018 07:20:56 AM PST,Product 10,No,Germany,N/A,Name 10,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000011,Description 11,Closed,10/26/2017 09:05:35 PM PDT,10/27/2017 03:56:14 AM PDT,Product 11,No,Taiwan,196682,Name 11,"N/A, Complaint Closed Prior To This Field Implementation",Power Issues
00000012,Description 12,Closed,10/12/2017 09:03:34 PM PDT,10/20/2017 06:12:12 AM PDT,Product 12,No,UK,211006,Name 12,"N/A, Complaint Closed Prior To This Field Implementation",Printer
00000013,Description 13,Closed,10/24/2017 09:05:36 PM PDT,11/24/2017 01:04:01 AM PST,Product 13,No,Japan,N/A,Name 13,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000014,Description 14,Review,06/07/2018 05:41:26 AM PDT,,Product 14,No,UK,4.82,Name 14,Taastrup|Audiometry|SW|Stability|Other,Other
00000015,Description 15,Submitted,03/21/2018 09:10:02 PM PDT,,Product 15,No,,,Name 15,,Other
00000016,Description 16,Closed,10/12/2017 09:03:34 PM PDT,11/24/2017 01:04:35 AM PST,Product 16,No,United Kingdom,N/A,Name 16,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000017,Description 17,Closed,10/12/2017 09:03:35 PM PDT,10/24/2017 01:49:21 AM PDT,Product 17,No,United Kingdom,432217,Name 17,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000018,Description 18,Closed,10/12/2017 09:03:36 PM PDT,10/25/2017 03:47:31 AM PDT,Product 18,No,UK,183344,Name 18,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000019,Description 19,Closed,01/19/2018 02:50:42 AM PST,01/25/2018 07:35:46 AM PST,Product 19,No,UK,N/A,Name 19,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000020,Description 20,Submitted,02/23/2018 09:04:03 PM PST,,Product 20,No,,693104,Name 20,,Other
00000021,Description 21,Closed,10/13/2017 09:03:34 PM PDT,10/23/2017 07:20:14 AM PDT,Product 21,No,UK,211018,Name 21,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000022,Description 22,Closed,10/13/2017 09:03:34 PM PDT,10/23/2017 07:19:58 AM PDT,Product 22,No,UK,260199,Name 22,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000023,Description 23,Closed,10/23/2017 09:05:34 PM PDT,12/19/2017 11:02:59 PM PST,Product 23,No,United Arab Emirates,136144,Name 23,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000024,Description 24,Closed,10/13/2017 09:03:35 PM PDT,11/24/2017 01:06:09 AM PST,Product 24,No,United Kingdom,415617 - 418645,Name 24,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00000025,Description 25,Closed,10/20/2017 09:05:36 PM PDT,10/23/2017 07:17:16 AM PDT,Product 25,No,Spain,N/A,Name 25,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000026,Description 26,Closed,10/13/2017 09:03:36 PM PDT,12/01/2017 04:50:22 AM PST,Product 26,No,UK,N/A,Name 26,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000027,Description 27,Closed,10/13/2017 09:03:36 PM PDT,12/01/2017 04:48:33 AM PST,Product 27,No,Ireland,984448,Name 27,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000028,Description 28,Closed,10/13/2017 09:03:37 PM PDT,10/23/2017 07:01:26 AM PDT,Product 28,No,United Kingdom,975019,Name 28,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000029,Description 29,Submitted,12/20/2017 09:00:41 PM PST,,Product 29,No,,386489,Name 29,,Other
00000030,Description 30,Closed,10/13/2017 09:03:37 PM PDT,11/24/2017 01:10:38 AM PST,Product 30,No,United Kingdom,425509,Name 30,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000031,Description 31,Closed,10/13/2017 09:03:38 PM PDT,11/24/2017 01:43:30 AM PST,Product 31,No,United Kingdom,300901,Name 31,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000032,Description 32,Closed,10/09/2017 09:03:34 PM PDT,11/24/2017 01:45:08 AM PST,Product 32,No,UK,111324,Name 32,"N/A, Complaint Closed Prior To This Field Implementation",PSU/Charger
00000033,Description 33,Review,03/21/2018 09:10:02 PM PDT,,Product 33,No,,,Name 33,Taastrup|Audiometry|SW|Stability|Other,Other
00000034,Description 34,Canceled,02/26/2018 09:06:56 PM PST,,Product 34,No,,375187,Name 34,,Other
00000035,Description 35,Closed,11/16/2017 09:00:40 PM PST,11/17/2017 12:53:50 AM PST,Product 35,No,Poland,305568,Name 35,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000036,Description 36,Closed,11/08/2017 09:00:41 PM PST,01/08/2018 05:38:53 AM PST,Product 36,No,Finland,270470,Name 36,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000037,Description 37,Closed,10/10/2017 09:03:34 PM PDT,11/24/2017 01:59:50 AM PST,Product 37,No,France,936,Name 37,"N/A, Complaint Closed Prior To This Field Implementation",Broken/Damaged Part
00000038,Description 38,Submitted,12/22/2017 09:00:39 PM PST,,Product 38,No,,,Name 38,,Other
00000039,Description 39,Submitted,12/22/2017 09:00:40 PM PST,,Product 39,No,,,Name 39,,Other
00000040,Description 40,Submitted,12/22/2017 09:00:40 PM PST,,Product 40,No,,,Name 40,,Other
00000041,Description 41,Submitted,12/22/2017 09:00:41 PM PST,,Product 41,No,,,Name 41,,Other
00000042,Description 42,Submitted,12/22/2017 09:00:41 PM PST,,Product 42,No,,,Name 42,,Other
00000043,Description 43,Closed,10/31/2017 09:05:35 PM PDT,11/24/2017 02:01:23 AM PST,Product 43,No,IRELAND,388527,Name 43,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000044,Description 44,Closed,10/17/2017 09:03:34 PM PDT,11/23/2017 12:20:33 AM PST,Product 44,No,Italy,LED121R0020141183,Name 44,"N/A, Complaint Closed Prior To This Field Implementation",LED Failure
00000045,Description 45,Canceled,10/26/2018 09:05:54 PM PDT,,Product 45,No,Italy,977617,Name 45,,Other
00000046,Description 46,Closed,11/01/2017 09:05:35 PM PDT,11/22/2017 11:35:31 PM PST,Product 46,No,India,984420,Name 46,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000047,Description 47,Closed,10/11/2017 09:03:36 PM PDT,11/24/2017 02:02:16 AM PST,Product 47,No,United Kingdom,401794,Name 47,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000048,Description 48,Canceled,01/19/2018 02:50:42 AM PST,,Product 48,No,United Kingdom,404890,Name 48,,Other
00000049,Description 49,Closed,10/10/2017 09:03:35 PM PDT,11/22/2017 11:36:16 PM PST,Product 49,No,United Kingdom,270462,Name 49,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00000050,Description 50,Closed,10/16/2017 09:03:34 PM PDT,11/22/2017 11:37:44 PM PST,Product 50,No,UK,2116,Name 50,"N/A, Complaint Closed Prior To This Field Implementation",Broken/Damaged Part
00000051,Description 51,Closed,10/20/2017 09:05:37 PM PDT,11/22/2017 11:38:18 PM PST,Product 51,No,Ireland,389329,Name 51,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000052,Description 52,Closed,10/10/2017 09:03:35 PM PDT,11/24/2017 02:02:58 AM PST,Product 52,No,United Kingdom,202042,Name 52,"N/A, Complaint Closed Prior To This Field Implementation",Camera
00000053,Description 53,Closed,10/25/2017 09:05:35 PM PDT,10/26/2017 03:07:49 AM PDT,Product 53,No,United Kingdom,872079,Name 53,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000054,Description 54,Closed,10/10/2017 09:03:36 PM PDT,11/22/2017 11:39:34 PM PST,Product 54,No,United Kingdom,113090,Name 54,"N/A, Complaint Closed Prior To This Field Implementation",Headset
